Top pages,Clicks,Impressions,CTR,Position
https://cozelosdata.com/,6,178,3.37%,2.12
https://cozelosdata.com/?page_id=158,6,131,4.58%,13.63
https://cozelosdata.com/?page_id=262,0,57,0%,2.6
https://cozelosdata.com/services/,0,53,0%,7.13
https://cozelosdata.com/?page_id=866,0,46,0%,2.74
https://cozelosdata.com/portfolio/,0,44,0%,1.43
https://cozelosdata.com/pricing/,0,44,0%,1.43
https://cozelosdata.com/why-cozelos-data/,0,44,0%,1.43
https://www.cozelosdata.com/services/,0,41,0%,2.61
https://cozelosdata.com/company/,0,1,0%,1
https://cozelosdata.com/contact/,0,1,0%,1
