Date,Clicks,Impressions,CTR,Position
2026-06-01,2,25,8%,1.5
2026-06-02,0,2,0%,1
2026-06-03,0,0,,
2026-06-04,0,0,,
2026-06-05,1,1,100%,1
2026-06-06,0,8,0%,1.5
2026-06-07,0,6,0%,1
2026-06-08,0,8,0%,1.2
2026-06-09,0,0,,
2026-06-10,0,4,0%,1
2026-06-11,0,0,,
2026-06-12,0,1,0%,1
2026-06-13,0,0,,
2026-06-14,0,2,0%,2
2026-06-15,0,4,0%,2.8
2026-06-16,0,12,0%,2.2
2026-06-17,0,3,0%,4
2026-06-18,0,3,0%,1
2026-06-19,0,0,,
2026-06-20,0,0,,
2026-06-21,0,0,,
2026-06-22,0,4,0%,1.2
2026-06-23,0,15,0%,1.5
2026-06-24,1,26,3.85%,1.8
2026-06-25,0,1,0%,1
2026-06-26,0,9,0%,1.6
2026-06-27,0,0,,
2026-06-28,0,0,,
2026-06-29,0,0,,
2026-06-30,0,6,0%,1.7
2026-07-01,0,2,0%,1
2026-07-02,0,2,0%,3
2026-07-03,0,0,,
2026-07-04,0,0,,
2026-07-05,0,1,0%,2
2026-07-06,0,0,,
2026-07-07,0,2,0%,5
2026-07-08,0,0,,
2026-07-09,0,0,,
2026-07-10,0,4,0%,3.5
2026-07-11,0,1,0%,1
2026-07-12,0,0,,
2026-07-13,0,0,,
2026-07-14,0,0,,
2026-07-15,0,4,0%,1.5
2026-07-16,0,3,0%,2.7
2026-07-17,0,0,,
2026-07-18,0,0,,
2026-07-19,1,1,100%,1
2026-07-20,0,0,,
2026-07-21,0,0,,
2026-07-22,0,0,,
2026-07-23,1,2,50%,1
2026-07-24,0,0,,
2026-07-25,0,0,,
2026-07-26,0,0,,
2026-07-27,0,4,0%,2
2026-07-28,0,4,0%,5.5
2026-07-29,0,0,,
2026-07-30,0,4,0%,3.8
2026-07-31,0,1,0%,46
2026-08-01,0,0,,
2026-08-02,0,0,,
2026-08-03,0,0,,
2026-08-04,0,1,0%,1
2026-08-05,0,2,0%,1.5
2026-08-06,0,0,,
2026-08-07,0,2,0%,2
2026-08-08,0,2,0%,1.5
2026-08-09,1,4,25%,2.5
