Date,Clicks,Impressions,CTR,Position
2026-06-01,1,12,8.33%,8.3
2026-06-02,0,2,0%,5
2026-06-03,0,0,,
2026-06-04,0,0,,
2026-06-05,0,1,0%,4
2026-06-06,0,8,0%,11.5
2026-06-07,0,0,,
2026-06-08,0,1,0%,9
2026-06-09,0,0,,
2026-06-10,0,1,0%,1
2026-06-11,0,2,0%,1
2026-06-12,0,2,0%,33
2026-06-13,0,0,,
2026-06-14,0,1,0%,11
2026-06-15,0,0,,
2026-06-16,0,3,0%,13.7
2026-06-17,0,4,0%,17.5
2026-06-18,0,0,,
2026-06-19,0,1,0%,1
2026-06-20,0,1,0%,5
2026-06-21,0,0,,
2026-06-22,0,6,0%,13.5
2026-06-23,1,20,5%,7
2026-06-24,0,15,0%,8.6
2026-06-25,0,0,,
2026-06-26,1,3,33.33%,5.3
2026-06-27,0,0,,
2026-06-28,0,0,,
2026-06-29,0,0,,
2026-06-30,0,1,0%,12
2026-07-01,0,0,,
2026-07-02,0,1,0%,121
2026-07-03,0,0,,
2026-07-04,0,0,,
2026-07-05,0,0,,
2026-07-06,0,3,0%,12
2026-07-07,0,0,,
2026-07-08,0,2,0%,11
2026-07-09,0,0,,
2026-07-10,0,2,0%,25.5
2026-07-11,0,0,,
2026-07-12,0,0,,
2026-07-13,0,0,,
2026-07-14,0,1,0%,1
2026-07-15,0,3,0%,12.3
2026-07-16,0,3,0%,8.7
2026-07-17,0,0,,
2026-07-18,0,0,,
2026-07-19,0,0,,
2026-07-20,0,2,0%,10.5
2026-07-21,1,3,33.33%,28
2026-07-22,0,0,,
2026-07-23,1,2,50%,12
2026-07-24,0,1,0%,2
2026-07-25,0,3,0%,52.7
2026-07-26,0,0,,
2026-07-27,0,4,0%,14
2026-07-28,0,5,0%,19
2026-07-29,0,2,0%,3.5
2026-07-30,0,2,0%,34
2026-07-31,0,0,,
2026-08-01,0,1,0%,1
2026-08-02,0,2,0%,58.5
2026-08-03,0,0,,
2026-08-04,0,1,0%,5
2026-08-05,1,2,50%,6.5
2026-08-06,0,2,0%,25.5
2026-08-07,0,4,0%,1
2026-08-08,1,4,25%,4
2026-08-09,0,1,0%,12
